! =====================================================================
! 1. CABECALHO DA MALHA
! [N� de Nos Fisicos]  [N� de Elementos]  [Ordem VEM (k)]  [DOFs por No]
! =====================================================================
128  35  2  2

! =====================================================================
! 2. COORDENADAS E TIPOS DOS NOS (1=Vertice, 2=Aresta)
! [X]  [Y]  [type_id]
! =====================================================================
! No 1
6.66646267631969E+03  1.36108704458150E+03  2
! No 116
6.65972779478413E+03  1.35915620472520E+03  2
! No 117
6.67295324446947E+03  1.35740529672338E+03  2
! No 118
6.65284193956492E+03  1.36117246197925E+03  2
! No 119
6.63862066754725E+03  1.35972151814903E+03  2
! No 120
6.64550652276647E+03  1.35770526089499E+03  2
! No 121
6.61049931552964E+03  1.36112088216525E+03  2
! No 122
6.61759217600221E+03  1.35771472295305E+03  2
! No 123
6.58514114564867E+03  1.36255711465309E+03  2
! No 124
6.59014217600221E+03  1.35771472295305E+03  2
! No 125
6.55909215810743E+03  1.36407153502732E+03  2
! No 126
6.56319217600221E+03  1.35771472295305E+03  2
! No 127
6.53393706629199E+03  1.36532798314624E+03  2
! No 128
6.53624217600221E+03  1.35771472295305E+03  2

! =====================================================================
! 3. CONECTIVIDADE DOS ELEMENTOS (Sentido Anti-Horario)
! =====================================================================
! Elemento 1 (8 nos de borda)
8
1  48  2  49  3  50  4  51  
! Elemento 2 (8 nos de borda)
8
5  52  6  53  7  54  8  55  
! Elemento 3 (8 nos de borda)
8
9  56  10  57  7  53  6  58  
! Elemento 4 (8 nos de borda)
8
11  59  9  58  6  60  12  61  
! Elemento 5 (8 nos de borda)
8
13  62  12  60  6  52  5  63  
! Elemento 6 (8 nos de borda)
8
3  64  14  65  10  56  9  66  
! Elemento 7 (8 nos de borda)
8
4  50  3  66  9  59  11  67  
! Elemento 8 (8 nos de borda)
8
15  68  4  67  11  69  16  70  
! Elemento 9 (8 nos de borda)
8
16  69  11  61  12  71  17  72  
! Elemento 10 (8 nos de borda)
8
17  71  12  62  13  73  18  74  
! Elemento 11 (8 nos de borda)
8
2  75  19  76  14  64  3  49  
! Elemento 12 (8 nos de borda)
8
20  77  1  51  4  68  15  78  
! Elemento 13 (8 nos de borda)
8
21  79  20  78  15  80  22  81  
! Elemento 14 (8 nos de borda)
8
22  80  15  70  16  82  23  83  
! Elemento 15 (8 nos de borda)
8
23  82  16  72  17  84  24  85  
! Elemento 16 (8 nos de borda)
8
24  84  17  74  18  86  25  87  
! Elemento 17 (8 nos de borda)
8
26  88  27  89  19  75  2  90  
! Elemento 18 (8 nos de borda)
8
26  90  2  48  1  91  28  92  
! Elemento 19 (8 nos de borda)
8
28  91  1  77  20  93  29  94  
! Elemento 20 (8 nos de borda)
8
29  93  20  79  21  95  30  96  
! Elemento 21 (8 nos de borda)
8
31  97  21  81  22  98  32  99  
! Elemento 22 (8 nos de borda)
8
32  98  22  83  23  100  33  101  
! Elemento 23 (8 nos de borda)
8
34  102  33  100  23  85  24  103  
! Elemento 24 (8 nos de borda)
8
34  103  24  87  25  104  35  105  
! Elemento 25 (8 nos de borda)
8
36  106  27  88  26  107  37  108  
! Elemento 26 (8 nos de borda)
8
37  107  26  92  28  109  38  110  
! Elemento 27 (8 nos de borda)
8
38  109  28  94  29  111  39  112  
! Elemento 28 (8 nos de borda)
8
39  111  29  96  30  113  40  114  
! Elemento 29 (8 nos de borda)
8
40  113  30  115  41  116  42  117  
! Elemento 30 (8 nos de borda)
8
31  118  41  115  30  95  21  97  
! Elemento 31 (8 nos de borda)
8
42  116  41  118  31  119  43  120  
! Elemento 32 (8 nos de borda)
8
43  119  31  99  32  121  44  122  
! Elemento 33 (8 nos de borda)
8
44  121  32  101  33  123  45  124  
! Elemento 34 (8 nos de borda)
8
45  123  33  102  34  125  46  126  
! Elemento 35 (8 nos de borda)
8
46  125  34  105  35  127  47  128  

! =====================================================================
! 4. CONDICOES DE CONTORNO DE DIRICHLET (Deslocamentos Prescritos)
! =====================================================================
42
36  1  0.00000000000000E+00   
36  2  0.00000000000000E+00   
37  1  0.00000000000000E+00   
37  2  0.00000000000000E+00   
38  1  0.00000000000000E+00   
38  2  0.00000000000000E+00 
39  1  0.00000000000000E+00   
39  2  0.00000000000000E+00   
40  1  0.00000000000000E+00   
40  2  0.00000000000000E+00   
42  1  0.00000000000000E+00   
42  2  0.00000000000000E+00
43  1  0.00000000000000E+00   
43  2  0.00000000000000E+00   
44  1  0.00000000000000E+00   
44  2  0.00000000000000E+00 
45  1  0.00000000000000E+00   
45  2  0.00000000000000E+00   
46  1  0.00000000000000E+00   
46  2  0.00000000000000E+00   
47  1  0.00000000000000E+00   
47  2  0.00000000000000E+00
108  1  0.00000000000000E+00   
108  2  0.00000000000000E+00   
110  1  0.00000000000000E+00   
110  2  0.00000000000000E+00 
112  1  0.00000000000000E+00   
112  2  0.00000000000000E+00   
114  1  0.00000000000000E+00   
114  2  0.00000000000000E+00   
117  1  0.00000000000000E+00   
117  2  0.00000000000000E+00
120  1  0.00000000000000E+00   
120  2  0.00000000000000E+00   
122  1  0.00000000000000E+00   
122  2  0.00000000000000E+00 
124  1  0.00000000000000E+00   
124  2  0.00000000000000E+00   
126  1  0.00000000000000E+00   
126  2  0.00000000000000E+00   
128  1  0.00000000000000E+00   
128  2  0.00000000000000E+00   

! =====================================================================
! 5. MOLAS ELASTICAS CONCENTRADAS
! =====================================================================
0
