! =====================================================================
! 1. CABECALHO DA MALHA
! [N� de Nos Fisicos]  [N� de Elementos]  [Ordem VEM (k)]  [DOFs por No]
! =====================================================================
128  35  2  2

! =====================================================================
! 2. COORDENADAS E TIPOS DOS NOS (1=Vertice, 2=Aresta)
! [X]  [Y]  [type_id]
! =====================================================================
! No 1
6.69953757820514E+03  1.37557363240313E+03  1
! No 2
6.72297910070759E+03  1.38063838804363E+03  1
! No 3
6.69969313343489E+03  1.39376947910572E+03  1
! No 4
6.67600979893119E+03  1.38698959957493E+03  1
! No 5
6.63671607890008E+03  1.43384732488497E+03  1
! No 6
6.65626726332742E+03  1.41940194123670E+03  1
! No 7
6.68247690791870E+03  1.43334720653503E+03  1
! No 8
6.65976717600221E+03  1.44921472295305E+03  1
! No 9
6.67710637309408E+03  1.40649886111992E+03  1
! No 10
6.70497845271266E+03  1.41762515253801E+03  1
! No 11
6.65551234311724E+03  1.39786327365867E+03  1
! No 12
6.63544057087996E+03  1.40865274450627E+03  1
! No 13
6.61387629832050E+03  1.41862080449858E+03  1
! No 14
6.72747999750662E+03  1.40190309854099E+03  1
! No 15
6.65589781515698E+03  1.38140336329023E+03  1
! No 16
6.63602881402600E+03  1.38922047825037E+03  1
! No 17
6.61200251282900E+03  1.39658823778498E+03  1
! No 18
6.59103651774093E+03  1.40339428411220E+03  1
! No 19
6.74998154230058E+03  1.38618104454397E+03  1
! No 20
6.68038092218940E+03  1.37089179922240E+03  1
! No 21
6.66042737116208E+03  1.36566117592464E+03  1
! No 22
6.63389702240966E+03  1.37261724820124E+03  1
! No 23
6.61233668475051E+03  1.37735981300238E+03  1
! No 24
6.58887072823030E+03  1.38367973923801E+03  1
! No 25
6.56819673716135E+03  1.38816776372582E+03  1
! No 26
6.74323469725679E+03  1.36915582044123E+03  1
! No 27
6.77248308709455E+03  1.37045899054695E+03  1
! No 28
6.71888254439578E+03  1.36642835676789E+03  1
! No 29
6.69715086604557E+03  1.36364986105594E+03  1
! No 30
6.67316563260191E+03  1.36155747854952E+03  1
! No 31
6.64592415909229E+03  1.36172831334501E+03  1
! No 32
6.61713145505709E+03  1.36452704137745E+03  1
! No 33
6.59386511529513E+03  1.36739950635313E+03  1
! No 34
6.56821714021265E+03  1.37042834710159E+03  1
! No 35
6.54535695658178E+03  1.37294124333944E+03  1
! No 36
6.79498463188851E+03  1.35473693654992E+03  1
! No 37
6.76754118848242E+03  1.35533686489316E+03  1
! No 38
6.74109750622046E+03  1.35591493792334E+03  1
! No 39
6.71365406281433E+03  1.35651486626660E+03  1
! No 40
6.68621061940829E+03  1.35711479460982E+03  1
! No 41
6.65975972003754E+03  1.36061661061348E+03  1
! No 42
6.65969586953073E+03  1.35769579883692E+03  1
! No 43
6.63131717600220E+03  1.35771472295305E+03  1
! No 44
6.60386717600221E+03  1.35771472295305E+03  1
! No 45
6.57641717600221E+03  1.35771472295305E+03  1
! No 46
6.54996717600221E+03  1.35771472295305E+03  1
! No 47
6.52251717600220E+03  1.35771472295305E+03  1
! No 48
6.71125833945637E+03  1.37810601022338E+03  2
! No 49
6.71133611707124E+03  1.38720393357467E+03  2
! No 50
6.68785146618305E+03  1.39037953934033E+03  2
! No 51
6.68777368856817E+03  1.38128161598903E+03  2
! No 52
6.64649167111375E+03  1.42662463306083E+03  2
! No 53
6.66937208562306E+03  1.42637457388586E+03  2
! No 54
6.67112204196045E+03  1.44128096474404E+03  2
! No 55
6.64824162745114E+03  1.44153102391901E+03  2
! No 56
6.69104241290337E+03  1.41206200682896E+03  2
! No 57
6.69372768031568E+03  1.42548617953652E+03  2
! No 58
6.66668681821075E+03  1.41295040117831E+03  2
! No 59
6.66630935810582E+03  1.40218106738936E+03  2
! No 60
6.64585391710369E+03  1.41402734287148E+03  2
! No 61
6.64547645699860E+03  1.40325800908247E+03  2
! No 62
6.62465843460023E+03  1.41363677450243E+03  2
! No 63
6.62529618861029E+03  1.42623406469177E+03  2
! No 64
6.71358656547189E+03  1.39783628882272E+03  2
! No 65
6.71622922510964E+03  1.40976412553950E+03  2
! No 66
6.68839975326578E+03  1.40013417011225E+03  2
! No 67
6.66576107102422E+03  1.39242643661680E+03  2
! No 68
6.66595380704408E+03  1.38419648143258E+03  2
! No 69
6.64577057857162E+03  1.39354187595452E+03  2
! No 70
6.64596331459149E+03  1.38531192077030E+03  2
! No 71
