# Gnuplot Deformed Mesh Archive
# X_deformed              Y_deformed
    5.65037908017343E+03    1.21048946518713E+03
    5.65006662190388E+03    1.21053315480054E+03
    5.64975416361486E+03    1.21057679223992E+03
    5.64973671874030E+03    1.21045171791148E+03
    5.64971927319426E+03    1.21032664348409E+03
    5.65003168974476E+03    1.21028300269993E+03
    5.65034410627545E+03    1.21023930974173E+03
    5.65036159355908E+03    1.21036438751384E+03
    5.65037908017343E+03    1.21048946518713E+03


    5.64975416361486E+03    1.21057679223992E+03
    5.64944173998401E+03    1.21062035583399E+03
    5.64912931635564E+03    1.21066382392155E+03
    5.64911194788757E+03    1.21053875295730E+03
    5.64909457873801E+03    1.21041368189369E+03
    5.64940692596546E+03    1.21037021044122E+03
    5.64971927319426E+03    1.21032664348409E+03
    5.64973671874030E+03    1.21045171791148E+03
    5.64975416361486E+03    1.21057679223992E+03


    5.65041405183629E+03    1.21073951254972E+03
    5.65010155182702E+03    1.21078319991859E+03
    5.64978905179789E+03    1.21082683511313E+03
    5.64977160793079E+03    1.21070181368628E+03
    5.64975416361486E+03    1.21057679223992E+03
    5.65006662190388E+03    1.21053315480054E+03
    5.65037908017343E+03    1.21048946518713E+03
    5.65039656622932E+03    1.21061448887826E+03
    5.65041405183629E+03    1.21073951254972E+03


    5.64978905179789E+03    1.21082683511313E+03
    5.64947655175860E+03    1.21087039646399E+03
    5.64916405172053E+03    1.21091386230622E+03
    5.64914668426193E+03    1.21078884312337E+03
    5.64912931635564E+03    1.21066382392155E+03
    5.64944173998401E+03    1.21062035583399E+03
    5.64975416361486E+03    1.21057679223992E+03
    5.64977160793079E+03    1.21070181368628E+03
    5.64978905179789E+03    1.21082683511313E+03


    5.65044902349896E+03    1.21098946520021E+03
    5.65013648174995E+03    1.21103315481313E+03
    5.64982393998072E+03    1.21107679225203E+03
    5.64980649566494E+03    1.21095181369233E+03
    5.64978905179789E+03    1.21082683511313E+03
    5.65010155182702E+03    1.21078319991859E+03
    5.65041405183629E+03    1.21073951254972E+03
    5.65043153744321E+03    1.21086448888480E+03
    5.65044902349896E+03    1.21098946520021E+03


    5.64982393998072E+03    1.21107679225203E+03
    5.64951136353299E+03    1.21112035584561E+03
    5.64919878708522E+03    1.21116382393268E+03
    5.64918141917908E+03    1.21103884312894E+03
    5.64916405172053E+03    1.21091386230622E+03
    5.64947655175860E+03    1.21087039646399E+03
    5.64978905179789E+03    1.21082683511313E+03
    5.64980649566494E+03    1.21095181369233E+03
    5.64982393998072E+03    1.21107679225203E+03


    5.65048399739641E+03    1.21123930977043E+03
    5.65017141390856E+03    1.21128300272782E+03
    5.64985883040080E+03    1.21132664351117E+03
    5.64984138485506E+03    1.21120171793107E+03
    5.64982393998072E+03    1.21107679225203E+03
    5.65013648174995E+03    1.21103315481313E+03
    5.65044902349896E+03    1.21098946520021E+03
    5.65046651011308E+03    1.21111438753472E+03
    5.65048399739641E+03    1.21123930977043E+03


    5.64985883040080E+03    1.21132664351117E+03
    5.64954617755102E+03    1.21137021046748E+03
    5.64923352470232E+03    1.21141368191913E+03
    5.64921615555306E+03    1.21128875297558E+03
    5.64919878708522E+03    1.21116382393268E+03
    5.64951136353299E+03    1.21112035584561E+03
    5.64982393998072E+03    1.21107679225203E+03
    5.64984138485506E+03    1.21120171793107E+03
    5.64985883040080E+03    1.21132664351117E+03


    5.64912931635564E+03    1.21066382392155E+03
    5.64881696010444E+03    1.21070715438330E+03
    5.64850460387995E+03    1.21075030514311E+03
    5.64848737917575E+03    1.21062523761914E+03
    5.64847015376575E+03    1.21050016999524E+03
    5.64878236623936E+03    1.21045701579271E+03
    5.64909457873801E+03    1.21041368189369E+03
    5.64911194788757E+03    1.21053875295730E+03
    5.64912931635564E+03    1.21066382392155E+03


    5.64850460387995E+03    1.21075030514311E+03
    5.64819234445624E+03    1.21079321567303E+03
    5.64788008505550E+03    1.21083582553960E+03
    5.64786310088586E+03    1.21071076161919E+03
    5.64784611596683E+03    1.21058569759828E+03
    5.64815813485580E+03    1.21054308412334E+03
    5.64847015376575E+03    1.21050016999524E+03
    5.64848737917575E+03    1.21062523761914E+03
    5.64850460387995E+03    1.21075030514311E+03


    5.64916405172053E+03    1.21091386230622E+03
    5.64885155169877E+03    1.21095719053642E+03
    5.64853905170182E+03    1.21100033905904E+03
    5.64852182801293E+03    1.21087532211013E+03
    5.64850460387995E+03    1.21075030514311E+03
    5.64881696010444E+03    1.21070715438330E+03
    5.64912931635564E+03    1.21066382392155E+03
    5.64914668426193E+03    1.21078884312337E+03
    5.64916405172053E+03    1.21091386230622E+03


    5.64853905170182E+03    1.21100033905904E+03
    5.64822655173055E+03    1.21104324738509E+03
    5.64791405177996E+03    1.21108585503750E+03
    5.64789706863613E+03    1.21096084029704E+03
    5.64788008505550E+03    1.21083582553960E+03
    5.64819234445624E+03    1.21079321567303E+03
    5.64850460387995E+03    1.21075030514311E+03
    5.64852182801293E+03    1.21087532211013E+03
    5.64853905170182E+03    1.21100033905904E+03


    5.64919878708522E+03    1.21116382393268E+03
    5.64888614329290E+03    1.21120715439393E+03
    5.64857349952350E+03    1.21125030515325E+03
    5.64855627539067E+03    1.21112532211520E+03
    5.64853905170182E+03    1.21100033905904E+03
    5.64885155169877E+03    1.21095719053642E+03
    5.64916405172053E+03    1.21091386230622E+03
    5.64918141917908E+03    1.21103884312894E+03
    5.64919878708522E+03    1.21116382393268E+03


    5.64857349952350E+03    1.21125030515325E+03
    5.64826075900467E+03    1.21129321568267E+03
    5.64794801850422E+03    1.21133582554875E+03
    5.64793103492374E+03    1.21121084030161E+03
    5.64791405177996E+03    1.21108585503750E+03
    5.64822655173055E+03    1.21104324738509E+03
    5.64853905170182E+03    1.21100033905904E+03
    5.64855627539067E+03    1.21112532211520E+03
    5.64857349952350E+03    1.21125030515325E+03


    5.64923352470232E+03    1.21141368191913E+03
    5.64892073715745E+03    1.21145701581732E+03
    5.64860794963717E+03    1.21150017001902E+03
    5.64859072422747E+03    1.21137523763610E+03
    5.64857349952350E+03    1.21125030515325E+03
    5.64888614329290E+03    1.21120715439393E+03
    5.64919878708522E+03    1.21116382393268E+03
    5.64921615555306E+03    1.21128875297558E+03
    5.64923352470232E+03    1.21141368191913E+03


    5.64860794963717E+03    1.21150017001902E+03
    5.64829496860456E+03    1.21154308414628E+03
    5.64798198759234E+03    1.21158569762035E+03
    5.64796500267362E+03    1.21146076163480E+03
    5.64794801850422E+03    1.21133582554875E+03
    5.64826075900467E+03    1.21129321568267E+03
    5.64857349952350E+03    1.21125030515325E+03
    5.64859072422747E+03    1.21137523763610E+03
    5.64860794963717E+03    1.21150017001902E+03


    5.64788008505550E+03    1.21083582553960E+03
    5.64756794859735E+03    1.21087805783758E+03
    5.64725581215493E+03    1.21091983582056E+03
    5.64723919144326E+03    1.21079477577430E+03
    5.64722256991661E+03    1.21066971562715E+03
    5.64753434293488E+03    1.21062793376251E+03
    5.64784611596683E+03    1.21058569759828E+03
    5.64786310088586E+03    1.21071076161919E+03
    5.64788008505550E+03    1.21083582553960E+03


    5.64725581215493E+03    1.21091983582056E+03
    5.64694382157784E+03    1.21096106822020E+03
    5.64663183101435E+03    1.21100166399748E+03
    5.64661571960903E+03    1.21087660821032E+03
    5.64659960730135E+03    1.21075155232234E+03
    5.64691108860303E+03    1.21071095227574E+03
    5.64722256991661E+03    1.21066971562715E+03
    5.64723919144326E+03    1.21079477577430E+03
    5.64725581215493E+03    1.21091983582056E+03


    5.64791405177996E+03    1.21108585503750E+03
    5.64760155184407E+03    1.21112808518086E+03
    5.64728905192150E+03    1.21116986099378E+03
    5.64727243225059E+03    1.21104484841496E+03
    5.64725581215493E+03    1.21091983582056E+03
    5.64756794859735E+03    1.21087805783758E+03
    5.64788008505550E+03    1.21083582553960E+03
    5.64789706863613E+03    1.21096084029704E+03
    5.64791405177996E+03    1.21108585503750E+03


    5.64728905192150E+03    1.21116986099378E+03
    5.64697655201224E+03    1.21121109131442E+03
    5.64666405211446E+03    1.21125168499240E+03
    5.64664794176791E+03    1.21112667450192E+03
    5.64663183101435E+03    1.21100166399748E+03
    5.64694382157784E+03    1.21096106822020E+03
    5.64725581215493E+03    1.21091983582056E+03
    5.64727243225059E+03    1.21104484841496E+03
    5.64728905192150E+03    1.21116986099378E+03


    5.64794801850422E+03    1.21133582554875E+03
    5.64763515509058E+03    1.21137805784623E+03
    5.64732229168788E+03    1.21141983582871E+03
    5.64730567159236E+03    1.21129484841903E+03
    5.64728905192150E+03    1.21116986099378E+03
    5.64760155184407E+03    1.21112808518086E+03
    5.64791405177996E+03    1.21108585503750E+03
    5.64793103492374E+03    1.21121084030161E+03
    5.64794801850422E+03    1.21133582554875E+03


    5.64732229168788E+03    1.21141983582871E+03
    5.64700928244645E+03    1.21146106822786E+03
    5.64669627321437E+03    1.21150166400463E+03
    5.64668016246097E+03    1.21137667450550E+03
    5.64666405211446E+03    1.21125168499240E+03
    5.64697655201224E+03    1.21121109131442E+03
    5.64728905192150E+03    1.21116986099378E+03
    5.64730567159236E+03    1.21129484841903E+03
    5.64732229168788E+03    1.21141983582871E+03


    5.64798198759234E+03    1.21158569762035E+03
    5.64766876075250E+03    1.21162793378368E+03
    5.64735553392562E+03    1.21166971564741E+03
    5.64733891239930E+03    1.21154477578850E+03
    5.64732229168788E+03    1.21141983582871E+03
    5.64763515509058E+03    1.21137805784623E+03
    5.64794801850422E+03    1.21133582554875E+03
    5.64796500267362E+03    1.21146076163480E+03
