    5.546033E+03    1.205144E+03    2.024607E-02
    5.546173E+03    1.206589E+03    2.711654E-02
    5.544203E+03    1.208558E+03    2.090696E-02
    5.544203E+03    1.206058E+03    2.021951E-02
    5.546033E+03    1.203558E+03    2.719269E-02
    5.544203E+03    1.203558E+03    5.491586E-02
    5.546033E+03    1.201973E+03    4.903796E-02
    5.544203E+03    1.201058E+03    1.040817E-01
    5.546173E+03    1.200528E+03    1.160355E-01
    5.544203E+03    1.198558E+03    1.609400E-01
    5.547581E+03    1.200720E+03    1.916713E-01
    5.546703E+03    1.199183E+03    1.970328E-01
    5.549203E+03    1.200933E+03    1.738864E-01
    5.549203E+03    1.199808E+03    2.362833E-01
    5.550922E+03    1.201410E+03    1.948247E-01
    5.551703E+03    1.200433E+03    2.318410E-01
    5.552374E+03    1.201973E+03    1.940580E-01
    5.550922E+03    1.201410E+03    2.295573E-01
    5.554203E+03    1.201058E+03    1.940212E-01
    5.552431E+03    1.202751E+03    2.320757E-01
    5.554203E+03    1.202308E+03    1.950190E-01
    5.552453E+03    1.203558E+03    2.379142E-01
    5.554203E+03    1.203558E+03    1.607646E-01
    5.552430E+03    1.204365E+03    1.878822E-01
    5.554203E+03    1.204808E+03    1.037055E-01
    5.552373E+03    1.205143E+03    1.160392E-01
    5.554203E+03    1.206058E+03    5.486022E-02
    5.550922E+03    1.205706E+03    4.887499E-02
    5.551703E+03    1.206683E+03    4.283547E-02
    5.549203E+03    1.206183E+03    4.118893E-02
    5.549203E+03    1.207308E+03    4.156003E-02
    5.547581E+03    1.206397E+03    4.245808E-02
    5.546703E+03    1.207933E+03    4.673790E-02
    5.547706E+03    1.203558E+03    4.677104E-02
    5.547710E+03    1.203699E+03    4.300561E-02
    5.547740E+03    1.203885E+03    4.168949E-02
    5.547792E+03    1.204066E+03    4.098611E-02
    5.547862E+03    1.204229E+03    4.110911E-02
    5.547864E+03    1.202889E+03    5.580550E-02
    5.547827E+03    1.202963E+03    5.098558E-02
    5.547763E+03    1.203140E+03    4.882729E-02
    5.547722E+03    1.203324E+03    6.889651E-02
    5.547704E+03    1.203511E+03    6.568607E-02
    5.548143E+03    1.202498E+03    6.157103E-02
    5.548018E+03    1.202639E+03    9.839031E-02
    5.547912E+03    1.202795E+03    9.553892E-02
    5.548460E+03    1.202257E+03    8.913726E-02
    5.548440E+03    1.202267E+03    8.262996E-02
    5.548284E+03    1.202373E+03    7.633718E-02
    5.549203E+03    1.202060E+03    1.360544E-01
    5.549156E+03    1.202059E+03    1.304362E-01
    5.548969E+03    1.202077E+03    1.242333E-01
    5.548785E+03    1.202118E+03    1.176567E-01
    5.548608E+03    1.202182E+03    1.108214E-01
    5.550139E+03    1.202389E+03    1.039555E-01
    5.550047E+03    1.202318E+03    1.498332E-01
    5.549884E+03    1.202222E+03    1.501607E-01
    5.549712E+03    1.202147E+03    1.477315E-01
    5.549531E+03    1.202094E+03    1.443864E-01
    5.549345E+03    1.202065E+03    1.405533E-01
    5.550545E+03    1.202888E+03    1.550344E-01
    5.550540E+03    1.202877E+03    1.541160E-01
    5.550444E+03    1.202715E+03    1.568989E-01
    5.550329E+03    1.202566E+03    1.584346E-01
    5.550195E+03    1.202433E+03    1.575253E-01
    5.550657E+03    1.203195E+03    1.551875E-01
    5.550615E+03    1.203050E+03    1.581740E-01
    5.550701E+03    1.203558E+03    1.584308E-01
    5.550697E+03    1.203417E+03    1.502832E-01
    5.550667E+03    1.203231E+03    1.535517E-01
    5.550656E+03    1.203921E+03    1.551668E-01
    5.550685E+03    1.203793E+03    1.354039E-01
    5.550703E+03    1.203605E+03    1.419590E-01
    5.550542E+03    1.204228E+03    1.455569E-01
    5.550580E+03    1.204154E+03    1.485512E-01
    5.550644E+03    1.203977E+03    9.773441E-02
    5.550140E+03    1.204729E+03    1.000117E-01
    5.550264E+03    1.204619E+03    1.066672E-01
    5.550389E+03    1.204478E+03    1.135958E-01
    5.550495E+03    1.204322E+03    1.203101E-01
    5.549203E+03    1.205056E+03    1.267151E-01
    5.549251E+03    1.205058E+03    1.297160E-01
    5.549438E+03    1.205040E+03    1.326297E-01
    5.549622E+03    1.204999E+03    6.856785E-02
    5.549799E+03    1.204935E+03    7.298637E-02
    5.549967E+03    1.204849E+03    7.900494E-02
    5.550045E+03    1.204796E+03    8.537576E-02
    5.550123E+03    1.204743E+03    9.183040E-02
    5.548461E+03    1.204858E+03    5.574800E-02
    5.548522E+03    1.204895E+03    5.959401E-02
    5.548695E+03    1.204970E+03    6.151522E-02
    5.548876E+03    1.205022E+03    6.345897E-02
    5.549062E+03    1.205052E+03    6.556949E-02
    5.548145E+03    1.204617E+03    4.803422E-02
    5.548211E+03    1.204683E+03    4.888046E-02
    5.548286E+03    1.204741E+03    4.990859E-02
    5.548360E+03    1.204799E+03    5.110042E-02
    5.548441E+03    1.204847E+03    5.230051E-02
    5.547867E+03    1.204239E+03    2.467275E-02
    5.547915E+03    1.204320E+03    4.231192E-02
    5.547963E+03    1.204401E+03    1.486830E-02
    5.548021E+03    1.204476E+03    2.411091E-02
    5.548078E+03    1.204550E+03    4.006132E-02
