# Time(s)         Deslocamento u_{10}(t)
   0.000000E+00     4.529002E-02
   5.514930E+00     3.326232E-02
   1.102986E+01     3.567626E-03
   1.654479E+01    -2.802198E-02
   2.205972E+01    -4.472795E-02
   2.757465E+01    -3.767706E-02
   3.308958E+01    -1.061433E-02
   3.860451E+01     2.208612E-02
   4.411944E+01     4.305571E-02
   4.963437E+01     4.115664E-02
   5.514930E+01     1.739758E-02
   6.066423E+01    -1.560206E-02
   6.617916E+01    -4.031480E-02
   7.169408E+01    -4.361468E-02
   7.720901E+01    -2.374900E-02
   8.272394E+01     8.730749E-03
   8.823887E+01     3.657324E-02
   9.375380E+01     4.499017E-02
   9.926873E+01     2.951096E-02
   1.047837E+02    -1.642736E-03
   1.102986E+02    -3.192391E-02
   1.158135E+02    -4.524898E-02
   1.213285E+02    -3.454044E-02
   1.268434E+02    -5.486051E-03
   1.323583E+02     2.648221E-02
   1.378732E+02     4.438467E-02
   1.433882E+02     3.871260E-02
   1.489031E+02     1.247867E-02
   1.544180E+02    -2.038320E-02
   1.599330E+02    -4.241871E-02
   1.654479E+02    -4.192389E-02
   1.709628E+02    -1.916156E-02
   1.764777E+02     1.377827E-02
   1.819927E+02     3.939989E-02
   1.875076E+02     4.409460E-02
   1.930225E+02     2.536885E-02
   1.985375E+02    -6.831347E-03
   2.040524E+02    -3.540313E-02
   2.095673E+02    -4.517085E-02
   2.150823E+02    -3.094646E-02
   2.205972E+02    -2.851316E-04
   2.261121E+02     3.052765E-02
   2.316270E+02     4.512593E-02
   2.371420E+02     3.575597E-02
   2.426569E+02     7.394533E-03
   2.481718E+02    -2.489444E-02
   2.536868E+02    -4.396095E-02
   2.592017E+02    -3.967798E-02
   2.647166E+02    -1.432040E-02
   2.702316E+02     1.864334E-02
   2.757465E+02     4.170483E-02
   2.812614E+02     4.261516E-02
   2.867763E+02     2.089082E-02
   2.922913E+02    -1.192950E-02
   2.978062E+02    -3.841357E-02
   3.033211E+02    -4.449461E-02
   3.088361E+02    -2.694272E-02
   3.143510E+02     4.919563E-03
   3.198659E+02     3.416886E-02
   3.253808E+02     4.526966E-02
   3.308958E+02     3.232588E-02
   3.364107E+02     2.212482E-03
   3.419256E+02    -2.907605E-02
   3.474406E+02    -4.492109E-02
   3.529555E+02    -3.690669E-02
   3.584704E+02    -9.289613E-03
   3.639854E+02     2.326156E-02
   3.695003E+02     4.345755E-02
   3.750152E+02     4.057145E-02
   3.805301E+02     1.613617E-02
   3.860451E+02    -1.686970E-02
   3.915600E+02    -4.091537E-02
   3.970749E+02    -4.322920E-02
   4.025899E+02    -2.258221E-02
   4.081048E+02     1.005912E-02
   4.136197E+02     3.735764E-02
   4.191347E+02     4.481397E-02
   4.246496E+02     2.846775E-02
   4.301645E+02    -2.998864E-03
   4.356794E+02    -3.287266E-02
   4.411944E+02    -4.528643E-02
   4.467093E+02    -3.364670E-02
   4.522242E+02    -4.135823E-03
   4.577392E+02     2.757176E-02
   4.632541E+02     4.463485E-02
   4.687690E+02     3.799052E-02
   4.742839E+02     1.116786E-02
   4.797989E+02    -2.158652E-02
   4.853138E+02    -4.287540E-02
   4.908287E+02    -4.139138E-02
   4.963437E+02    -1.792270E-02
   5.018586E+02     1.506548E-02
   5.073735E+02     4.005175E-02
   5.128885E+02     4.376489E-02
   5.184034E+02     2.423268E-02
   5.239183E+02    -8.170502E-03
   5.294332E+02    -3.623399E-02
   5.349482E+02    -4.505212E-02
   5.404631E+02    -2.994120E-02
   5.459780E+02     1.072729E-03
   5.514930E+02     3.151688E-02
   5.570079E+02     4.522112E-02
   5.625228E+02     3.490655E-02
   5.680377E+02     6.051669E-03
   5.735527E+02    -2.601750E-02
   5.790676E+02    -4.426770E-02
   5.845825E+02    -3.900550E-02
   5.900975E+02    -1.302586E-02
   5.956124E+02     1.987235E-02
   6.011273E+02     4.221553E-02
   6.066423E+02     4.213630E-02
   6.121572E+02     1.967674E-02
   6.176721E+02    -1.323395E-02
   6.231870E+02    -3.911555E-02
   6.287020E+02    -4.422126E-02
   6.342169E+02    -2.583923E-02
   6.397318E+02     6.267078E-03
   6.452468E+02     3.504468E-02
   6.507617E+02     4.520861E-02
   6.562766E+02     3.136038E-02
   6.617916E+02     8.553495E-04
   6.673065E+02    -3.010399E-02
   6.728214E+02    -4.507385E-02
   6.783363E+02    -3.610313E-02
   6.838513E+02    -7.956546E-03
   6.893662E+02     2.441609E-02
   6.948811E+02     4.382033E-02
   7.003961E+02     3.994979E-02
   7.059110E+02     1.486026E-02
   7.114259E+02    -1.812217E-02
   7.169408E+02    -4.147916E-02
   7.224558E+02    -4.280486E-02
   7.279707E+02    -2.139512E-02
   7.334856E+02     1.137844E-02
   7.390006E+02     3.810845E-02
   7.445155E+02     4.459748E-02
   7.500304E+02     2.739895E-02
   7.555454E+02    -4.352296E-03
   7.610603E+02    -3.379186E-02
   7.665752E+02    -4.528317E-02
   7.720901E+02    -3.272272E-02
   7.776051E+02    -2.781878E-03
   7.831200E+02     2.863653E-02
   7.886349E+02     4.484490E-02
   7.941499E+02     3.723428E-02
   7.996648E+02     9.847004E-03
   8.051797E+02    -2.277043E-02
   8.106947E+02    -4.329354E-02
   8.162096E+02    -4.082167E-02
   8.217245E+02    -1.666772E-02
   8.272394E+02     1.633914E-02
   8.327544E+02     4.066761E-02
   8.382693E+02     4.339583E-02
   8.437842E+02     2.307473E-02
