# Time(s)         Deslocamento u_{10}(t)
   9.982023E+02    -4.015948E-02
   1.003717E+03    -3.446155E-02
   1.009232E+03    -2.235757E-02
   1.014747E+03    -6.097530E-03
   1.020262E+03     1.129598E-02
   1.025777E+03     2.658967E-02
   1.031292E+03     3.694061E-02
   1.036807E+03     4.042466E-02
   1.042322E+03     3.639417E-02
   1.047837E+03     2.559836E-02
   1.053352E+03     1.004407E-02
   1.058866E+03    -7.377314E-03
   1.064381E+03    -2.342733E-02
   1.069896E+03    -3.512243E-02
   1.075411E+03    -4.028863E-02
   1.080926E+03    -3.796557E-02
   1.086441E+03    -2.858508E-02
   1.091956E+03    -1.389092E-02
   1.097471E+03     3.385430E-03
