# Gnuplot Mode Data Archive - Mode 3
# Col 1: Node ID
# Col 2: X_orig
# Col 3: Y_orig
# Col 4: u_x
# Col 5: u_y
# Col 6: u_mag
# Col 7: X_deformed
# Col 8: Y_deformed
       1     5.53425696491491E+03     1.23044499582425E+03     4.95971910300162E-03    -7.72506124469507E-03     9.18016257018191E-03     5.53425795685873E+03     1.23044345081200E+03
       2     5.53469630474313E+03     1.23150565599603E+03    -5.73745774705822E-03    -5.65978922424366E-02     5.68879585473564E-02     5.53469515725158E+03     1.23149433641758E+03
       3     5.53075696491491E+03     1.23544499582425E+03     9.11405035395617E-03     1.27513338670987E-02     1.56736220844024E-02     5.53075878772498E+03     1.23544754609102E+03
       4     5.53075696491491E+03     1.23044499582425E+03    -1.19920257977943E-02    -4.44971385652119E-04     1.20002784246455E-02     5.53075456650975E+03     1.23044490682997E+03
       5     5.53469630474313E+03     1.22938433565247E+03    -6.82357333431174E-03     5.23734118025133E-02     5.28160526439109E-02     5.53469494002846E+03     1.22939481033483E+03
       6     5.53075696491491E+03     1.22544499582425E+03     8.86064404843343E-03    -2.95465285094583E-02     3.08465291388395E-02     5.53075873704372E+03     1.22543908651855E+03
       7     5.53575696491491E+03     1.22894499582425E+03     3.75628935351299E-02    -1.35295815207308E-01     1.40413420239454E-01     5.53576447749362E+03     1.22891793666121E+03
       8     5.53575696491491E+03     1.22669499582425E+03    -1.78278914393538E-02     4.31507029454849E-02     4.66885090559001E-02     5.53575339933662E+03     1.22670362596484E+03
       9     5.53709860570141E+03     1.22977417543099E+03    -2.48153348408113E-02     3.89326054682437E-02     4.61686973154701E-02     5.53709364263444E+03     1.22978196195208E+03
      10     5.53681762508669E+03     1.22938433565247E+03    -2.74026872844426E-02     4.83549079283848E-02     5.55797120464970E-02     5.53681214454923E+03     1.22939400663406E+03
      11     5.54075696491491E+03     1.22794499582425E+03     1.27732542598763E-02    -3.29079960275698E-02     3.53000315430170E-02     5.54075951956576E+03     1.22793841422504E+03
      12     5.53725696491491E+03     1.23044499582425E+03     2.72911532265676E-02    -5.07858718809175E-03     2.77596666453875E-02     5.53726242314556E+03     1.23044398010681E+03
      13     5.54075696491491E+03     1.23044499582425E+03    -6.29541034409988E-03    -2.68024160232282E-03     6.84221356341804E-03     5.54075570583284E+03     1.23044445977593E+03
      14     5.53709860570141E+03     1.23111581621750E+03    -2.47939440292681E-02    -4.24256198773055E-02     4.91393211440705E-02     5.53709364691260E+03     1.23110733109352E+03
      15     5.54075696491491E+03     1.23294499582425E+03     1.20943623987820E-02     1.55436438568766E-02     1.96946303895882E-02     5.54075938378739E+03     1.23294810455302E+03
      16     5.53575696491491E+03     1.23194499582425E+03     3.53171114934526E-02     1.02037270276033E-01     1.07976399688197E-01     5.53576402833721E+03     1.23196540327831E+03
      17     5.53681762508669E+03     1.23150565599603E+03    -2.35194965332606E-02    -4.70070708040445E-02     5.25626428440819E-02     5.53681292118738E+03     1.23149625458187E+03
      18     5.53575696491491E+03     1.23419499582425E+03    -1.76953339727483E-02    -3.91015578430116E-02     4.29191876688909E-02     5.53575342584812E+03     1.23418717551268E+03
