# Gnuplot Deformed Mesh Archive
# X_deformed              Y_deformed
    5.64144545158283E+03    1.24649847927844E+03
    5.64159585109280E+03    1.24651144075619E+03
    5.64174624968368E+03    1.24652757710914E+03
    5.64172853504848E+03    1.24665236729075E+03
    5.64171083875286E+03    1.24677715781103E+03
    5.64156678990479E+03    1.24676105810311E+03
    5.64142274022045E+03    1.24674813328321E+03
    5.64143408676711E+03    1.24662330611349E+03
    5.64144545158283E+03    1.24649847927844E+03


    5.64108080221758E+03    1.24649006294115E+03
    5.64126312700904E+03    1.24649068824295E+03
    5.64144545158283E+03    1.24649847927844E+03
    5.64143408676711E+03    1.24662330611349E+03
    5.64142274022045E+03    1.24674813328321E+03
    5.64125474720075E+03    1.24674037877758E+03
    5.64108675400252E+03    1.24673978996646E+03
    5.64108376915782E+03    1.24661492630704E+03
    5.64108080221758E+03    1.24649006294115E+03


    5.64142274022045E+03    1.24674813328321E+03
    5.64156678990479E+03    1.24676105810311E+03
    5.64171083875286E+03    1.24677715781103E+03
    5.64169315560336E+03    1.24690206322331E+03
    5.64167548040538E+03    1.24702696868045E+03
    5.64153778122892E+03    1.24701088485783E+03
    5.64140008142477E+03    1.24699797591758E+03
    5.64141140687145E+03    1.24687305457964E+03
    5.64142274022045E+03    1.24674813328321E+03


    5.64108675400252E+03    1.24673978996646E+03
    5.64125474720075E+03    1.24674037877758E+03
    5.64142274022045E+03    1.24674813328321E+03
    5.64141140687145E+03    1.24687305457964E+03
    5.64140008142477E+03    1.24699797591758E+03
    5.64124641961010E+03    1.24699023721719E+03
    5.64109275765729E+03    1.24698966408662E+03
    5.64108975196972E+03    1.24686472700913E+03
    5.64108675400252E+03    1.24673978996646E+03


    5.64074183448617E+03    1.24650710137102E+03
    5.64091131801284E+03    1.24649580165509E+03
    5.64108080221758E+03    1.24649006294115E+03
    5.64108376915782E+03    1.24661492630704E+03
    5.64108675400252E+03    1.24673978996646E+03
    5.64092839200644E+03    1.24674556430525E+03
    5.64077003066747E+03    1.24675689942382E+03
    5.64075592411793E+03    1.24663200029507E+03
    5.64074183448617E+03    1.24650710137102E+03


    5.64049759050485E+03    1.24653454759700E+03
    5.64061971198866E+03    1.24652100383175E+03
    5.64074183448617E+03    1.24650710137102E+03
    5.64075592411793E+03    1.24663200029507E+03
    5.64077003066747E+03    1.24675689942382E+03
    5.64064719109377E+03    1.24677083495273E+03
    5.64052435249301E+03    1.24678441127959E+03
    5.64051096397480E+03    1.24665947938865E+03
    5.64049759050485E+03    1.24653454759700E+03


    5.64077003066747E+03    1.24675689942382E+03
    5.64092839200644E+03    1.24674556430525E+03
    5.64108675400252E+03    1.24673978996646E+03
    5.64108975196972E+03    1.24686472700913E+03
    5.64109275765729E+03    1.24698966408662E+03
    5.64094551674195E+03    1.24699545389972E+03
    5.64079827630874E+03    1.24700680410885E+03
    5.64078414981509E+03    1.24688185175421E+03
    5.64077003066747E+03    1.24675689942382E+03


    5.64052435249301E+03    1.24678441127959E+03
    5.64064719109377E+03    1.24677083495273E+03
    5.64077003066747E+03    1.24675689942382E+03
    5.64078414981509E+03    1.24688185175421E+03
    5.64079827630874E+03    1.24700680410885E+03
    5.64067471730463E+03    1.24702075436368E+03
    5.64055115901785E+03    1.24703434466566E+03
    5.64053775239477E+03    1.24690937796649E+03
    5.64052435249301E+03    1.24678441127959E+03


    5.64140008142477E+03    1.24699797591758E+03
    5.64153778122892E+03    1.24701088485783E+03
    5.64167548040538E+03    1.24702696868045E+03
    5.64165781165285E+03    1.24715190889431E+03
    5.64164014782076E+03    1.24727684920136E+03
    5.64150879824994E+03    1.24726077521168E+03
    5.64137744834392E+03    1.24724787609610E+03
    5.64138876243912E+03    1.24712292596175E+03
    5.64140008142477E+03    1.24699797591758E+03


    5.64109275765729E+03    1.24698966408662E+03
    5.64124641961010E+03    1.24699023721719E+03
    5.64140008142477E+03    1.24699797591758E+03
    5.64138876243912E+03    1.24712292596175E+03
    5.64137744834392E+03    1.24724787609610E+03
    5.64123811749847E+03    1.24724014717834E+03
    5.64109878657854E+03    1.24723958374671E+03
    5.64109576972593E+03    1.24711462387464E+03
    5.64109275765729E+03    1.24698966408662E+03


    5.64137744834392E+03    1.24724787609610E+03
    5.64150879824994E+03    1.24726077521168E+03
    5.64164014782076E+03    1.24727684920136E+03
    5.64162248726469E+03    1.24740182927449E+03
    5.64160482832785E+03    1.24752680945080E+03
    5.64147982832778E+03    1.24751073869740E+03
    5.64135482832757E+03    1.24749784281491E+03
    5.64136613753136E+03    1.24737285940565E+03
    5.64137744834392E+03    1.24724787609610E+03


    5.64109878657854E+03    1.24723958374671E+03
    5.64123811749847E+03    1.24724014717834E+03
    5.64137744834392E+03    1.24724787609610E+03
    5.64136613753136E+03    1.24737285940565E+03
    5.64135482832757E+03    1.24749784281491E+03
    5.64122982832730E+03    1.24749011711437E+03
    5.64110482832707E+03    1.24748955687083E+03
    5.64110180666610E+03    1.24736457026145E+03
    5.64109878657854E+03    1.24723958374671E+03


    5.64079827630874E+03    1.24700680410885E+03
    5.64094551674195E+03    1.24699545389972E+03
    5.64109275765729E+03    1.24698966408662E+03
    5.64109576972593E+03    1.24711462387464E+03
    5.64109878657854E+03    1.24723958374671E+03
    5.64096266624001E+03    1.24724538313396E+03
    5.64082654615691E+03    1.24725674271521E+03
    5.64081240894474E+03    1.24713177337463E+03
    5.64079827630874E+03    1.24700680410885E+03


    5.64055115901785E+03    1.24703434466566E+03
    5.64067471730463E+03    1.24702075436368E+03
    5.64079827630874E+03    1.24700680410885E+03
    5.64081240894474E+03    1.24713177337463E+03
    5.64082654615691E+03    1.24725674271521E+03
    5.64070226684832E+03    1.24727070211589E+03
    5.64057798792046E+03    1.24728430121084E+03
    5.64056457135023E+03    1.24715932290672E+03
    5.64055115901785E+03    1.24703434466566E+03


    5.64082654615691E+03    1.24725674271521E+03
    5.64096266624001E+03    1.24724538313396E+03
    5.64109878657854E+03    1.24723958374671E+03
    5.64110180666610E+03    1.24736457026145E+03
    5.64110482832707E+03    1.24748955687083E+03
    5.64097982832690E+03    1.24749535940477E+03
    5.64085482832687E+03    1.24750672206827E+03
    5.64084068648756E+03    1.24738173234738E+03
    5.64082654615691E+03    1.24725674271521E+03


    5.64057798792046E+03    1.24728430121084E+03
    5.64070226684832E+03    1.24727070211589E+03
    5.64082654615691E+03    1.24725674271521E+03
    5.64084068648756E+03    1.24738173234738E+03
    5.64085482832687E+03    1.24750672206827E+03
    5.64072982832700E+03    1.24752068448447E+03
    5.64060482832723E+03    1.24753428648807E+03
    5.64059140742019E+03    1.24740929380917E+03
    5.64057798792046E+03    1.24728430121084E+03


    5.64033830730796E+03    1.24654994562523E+03
    5.64041794865532E+03    1.24654508068235E+03
    5.64049759050485E+03    1.24653454759700E+03
    5.64051096397480E+03    1.24665947938865E+03
    5.64052435249301E+03    1.24678441127959E+03
    5.64043337476958E+03    1.24679497280134E+03
    5.64034239754934E+03    1.24679986537324E+03
    5.64034034629544E+03    1.24667490548660E+03
    5.64033830730796E+03    1.24654994562523E+03


    5.64018275768022E+03    1.24654221309306E+03
    5.64026053271334E+03    1.24654902980936E+03
    5.64033830730796E+03    1.24654994562523E+03
    5.64034034629544E+03    1.24667490548660E+03
    5.64034239754934E+03    1.24679986537324E+03
    5.64025282166985E+03    1.24679897154180E+03
    5.64016324542770E+03    1.24679217575567E+03
    5.64017299718127E+03    1.24666719442121E+03
    5.64018275768022E+03    1.24654221309306E+03


    5.64034239754934E+03    1.24679986537324E+03
    5.64043337476958E+03    1.24679497280134E+03
    5.64052435249301E+03    1.24678441127959E+03
    5.64053775239477E+03    1.24690937796649E+03
    5.64055115901785E+03    1.24703434466566E+03
    5.64044884168559E+03    1.24704491958328E+03
    5.64034652472452E+03    1.24704982438474E+03
    5.64034445825116E+03    1.24692484487780E+03
    5.64034239754934E+03    1.24679986537324E+03


    5.64016324542770E+03    1.24679217575567E+03
    5.64025282166985E+03    1.24679897154180E+03
