# h_size    L2_error_TRI   L2_error_REC
0.25        7.7691E-02     1.67794E-01
0.125       1.6493E-02     3.03098E-02
0.08333333  6.6733E-03     1.43196E-02
0.0625      3.6280E-03     2.37042E-02
